H,R,T
protein-07918,expression,gene-04428
protein-07918,stimul,gene-01882
protein-07918,stimul,protein-03198
protein-07920,associate,gene-13118
protein-07920,cause,hpo-03634
protein-07988,associate,hpo-03897
protein-07988,expression,disease-0286
protein-08156,act,gene-05413
protein-08430,associate,gene-04314
protein-08430,expression,hpo-03925
protein-08430,improve,hpo-12857
protein-08430,regulate,gene-11519
protein-08430,treat,hpo-13528
protein-08527,regulate,hpo-03925
protein-08527,reverse,gene-03210
protein-08537,change,small_molecule-11291
protein-08548,change,hpo-03925
protein-09205,reduce,hpo-03634
protein-09205,treat,hpo-03925
protein-09761,found,small_molecule-02847
protein-12314,associate,protein-04112
protein-12314,cause,gene-03761
protein-12314,found,gene-05353
protein-12314,increase,hpo-03634
protein-12314,reduce,hpo-03634
protein-12314,regulate,gene-10440
protein-12314,show,gene-10440
protein-12314,show,protein-02765
protein-12566,inhibit,gene-05088
protein-12566,inhibit,hpo-03925
protein-12815,abolish,hpo-13631
protein-12815,cause,protein-05287
protein-12815,improve,hpo-12857
protein-14286,associate,hpo-03528
protein-14286,associate,hpo-03632
protein-14286,associate,hpo-03925
protein-14286,associate,small_molecule-02783
protein-14286,associate,small_molecule-02847
protein-14286,cause,hpo-03528
protein-14286,cause,hpo-03632
protein-14286,cause,hpo-03925
protein-14286,cause,hpo-08875
protein-14286,cause,hpo-12834
protein-14286,cause,hpo-12855
protein-14286,cause,small_molecule-02847
protein-14286,contain,disease-5932
protein-14286,contain,gene-05670
protein-14286,contain,hpo-08343
protein-14286,contain,hpo-10187
protein-14286,determin,hpo-03925
protein-14286,develop,hpo-12834
protein-14286,encode,gene-05836
protein-14286,expression,hpo-03632
protein-14286,expression,small_molecule-02847
protein-14286,found,hpo-03632
protein-14286,generate,hpo-03632
protein-14286,identifi,small_molecule-02847
protein-14286,improve,hpo-03925
protein-14286,inhibit,gene-00175
protein-14286,mutate,hpo-03642
protein-14286,mutate,small_molecule-02847
protein-14286,patholog,hpo-03925
protein-14286,reduce,small_molecule-02847
protein-14286,treat,hpo-03925
protein-14286,treat,small_molecule-02847
protein-14286,use,hpo-03632
protein-14392,cause,small_molecule-11333
protein-14392,develop,hpo-03925
protein-14413,protect,hpo-03549
protein-14430,regulate,hpo-03632
protein-14563,affect,hpo-03925
protein-14624,activate,gene-05353
protein-15103,affect,hpo-07870
protein-15103,affect,hpo-09081
protein-15103,change,hpo-09081
protein-15103,detect,hpo-09081
protein-15103,regulate,hpo-13104
protein-16471,disrupt,hpo-03632
protein-17620,expression,gene-05958
protein-17809,encode,small_molecule-02847
protein-17907,regulate,gene-03627
protein-17994,cause,hpo-03925
protein-17994,reduce,hpo-12857
protein-19425,activate,gene-13933
protein-19425,affect,protein-03019
protein-19425,expression,gene-13933
protein-19425,increase,gene-09401
protein-19425,increase,gene-13933
protein-19425,increase,hpo-12824
protein-19425,patholog,hpo-03925
protein-19425,regulate,gene-13933
protein-19658,cause,gene-02997
protein-19658,regulate,gene-01803
protein-19658,regulate,gene-02997
protein-19737,associate,gene-04645
protein-19812,expression,small_molecule-11291
protein-20088,cause,hpo-03925
small_molecule-00281,use,hpo-13647
small_molecule-00356,generate,hpo-07332
small_molecule-00386,treat,hpo-12952
small_molecule-00392,change,hpo-05179
small_molecule-00413,activate,hpo-03925
small_molecule-00413,activate,small_molecule-11313
small_molecule-00413,activate,small_molecule-53980
small_molecule-00413,affect,hpo-03925
small_molecule-00413,affect,hpo-04141
small_molecule-00413,affect,hpo-13580
small_molecule-00413,associate,disease-0839
small_molecule-00413,associate,hpo-03528
small_molecule-00413,associate,hpo-03925
small_molecule-00413,associate,hpo-12857
small_molecule-00413,associate,hpo-13126
small_molecule-00413,associate,hpo-13303
small_molecule-00413,associate,hpo-13528
small_molecule-00413,cause,hpo-02571
small_molecule-00413,cause,hpo-03528
small_molecule-00413,cause,hpo-03925
small_molecule-00413,cause,hpo-08335
small_molecule-00413,cause,hpo-12641
small_molecule-00413,change,hpo-13303
small_molecule-00413,conside,hpo-03528
small_molecule-00413,expression,gene-05327
small_molecule-00413,feature,hpo-13303
small_molecule-00413,increase,hpo-03925
small_molecule-00413,maintain,hpo-13303
small_molecule-00413,patholog,hpo-03925
small_molecule-00413,potenti,hpo-03549
small_molecule-00413,potenti,hpo-03925
small_molecule-00413,protect,hpo-03632
small_molecule-00413,protect,hpo-13303
small_molecule-00413,reduce,hpo-03646
small_molecule-00413,reduce,hpo-12857
small_molecule-00413,regulate,hpo-13303
small_molecule-00413,signal,gene-02115
small_molecule-00413,signal,hpo-03925
small_molecule-00413,stimul,hpo-03528
small_molecule-00413,stimul,hpo-12857
small_molecule-00413,treat,hpo-03925
small_molecule-00413,treat,hpo-13303
small_molecule-00433,cause,hpo-03925
small_molecule-00510,affect,hpo-13631
small_molecule-00539,prevent,hpo-06705
small_molecule-00560,use,hpo-03025
small_molecule-00560,use,hpo-03925
small_molecule-00602,cause,hpo-08544
small_molecule-00606,improve,hpo-03925
small_molecule-00606,reduce,hpo-03925
small_molecule-00614,treat,drug-00070
small_molecule-00636,affect,small_molecule-02847
small_molecule-00636,associate,hpo-13074
small_molecule-00636,observe,small_molecule-09100
small_molecule-00636,treat,hpo-12834
small_molecule-00636,treat,small_molecule-11291
small_molecule-00682,improve,hpo-03925
small_molecule-00682,reduce,hpo-12857
small_molecule-00706,increase,gene-14869
small_molecule-00733,show,hpo-03878
small_molecule-00776,depend,hpo-03925
small_molecule-00776,show,hpo-12683
small_molecule-00786,demonstr,hpo-03549
small_molecule-00786,expression,hpo-03634
small_molecule-00786,show,hpo-03549
small_molecule-00792,prevent,hpo-09475
small_molecule-00792,prevent,hpo-12986
small_molecule-00828,associate,hpo-02723
small_molecule-00899,use,hpo-03925
small_molecule-00972,affect,hpo-03632
small_molecule-00972,confer,hpo-03925
small_molecule-00972,inhibit,drug-05399
small_molecule-00972,reduce,hpo-03528
small_molecule-00972,reduce,hpo-13441
small_molecule-00972,show,hpo-03925
small_molecule-00977,cause,gene-08025
small_molecule-00977,expression,hpo-13631
small_molecule-00977,prevent,hpo-03925
small_molecule-00977,reduce,hpo-03646
small_molecule-00977,regulate,hpo-03646
small_molecule-00977,treat,hpo-03925
small_molecule-01002,cause,hpo-00236
small_molecule-01033,cause,hpo-03747
small_molecule-01108,increase,drug-04821
small_molecule-01211,inhibit,gene-03841
small_molecule-01211,inhibit,gene-13899
small_molecule-01211,treat,drug-01218
small_molecule-01211,treat,small_molecule-35141
small_molecule-01226,inhibit,hpo-03925
small_molecule-01226,inhibit,hpo-12857
small_molecule-01245,affect,disease-0874
small_molecule-01245,expression,gene-04222
small_molecule-01245,increase,gene-14869
small_molecule-01245,inhibit,gene-03245
small_molecule-01245,show,small_molecule-05128
small_molecule-01250,bind,small_molecule-52965
small_molecule-01250,change,gene-00271
small_molecule-01250,protect,hpo-04141
small_molecule-01250,reduce,gene-00271
small_molecule-01250,treat,hpo-07166
small_molecule-01258,cause,gene-05353
small_molecule-01258,exist,hpo-07332
small_molecule-01258,increase,gene-05353
small_molecule-01258,potenti,gene-05708
small_molecule-01259,affect,hpo-07166
small_molecule-01262,act,small_molecule-53521
small_molecule-01262,inhibit,hpo-12857
small_molecule-01317,cause,hpo-03634
small_molecule-01317,cause,hpo-03925
small_molecule-01317,marker,hpo-03925
small_molecule-01317,reduce,hpo-12857
small_molecule-01317,reduce,hpo-13354
small_molecule-01317,transloc,hpo-08236
small_molecule-01317,treat,hpo-13373
small_molecule-01360,cause,hpo-12949
small_molecule-01360,regulate,hpo-12949
small_molecule-01372,prevent,hpo-03528
small_molecule-01408,improve,small_molecule-09026
small_molecule-01441,treat,disease-0006
small_molecule-01441,treat,hpo-13482
small_molecule-01473,affect,hpo-10098
small_molecule-01473,function,hpo-03751
small_molecule-01473,improve,hpo-03925
small_molecule-01494,affect,small_molecule-09030
small_molecule-01494,change,hpo-10098
small_molecule-01494,detect,small_molecule-09029
small_molecule-01494,feature,hpo-03549
small_molecule-01494,found,hpo-03549
small_molecule-01494,observe,drug-00335
small_molecule-01494,observe,hpo-03726
small_molecule-01494,reduce,hpo-10147
small_molecule-01494,regulate,small_molecule-11291
small_molecule-01494,reverse,hpo-03549
small_molecule-01494,show,small_molecule-09030
small_molecule-01507,focus,hpo-08242
small_molecule-01507,increase,disease-3452
small_molecule-01507,reduce,hpo-03925
small_molecule-01565,associate,hpo-03528
small_molecule-01565,associate,small_molecule-11291
small_molecule-01565,cause,hpo-13303
small_molecule-01565,cause,hpo-13307
small_molecule-01578,reduce,hpo-00016
small_molecule-01615,affect,hpo-03925
small_molecule-01707,activate,hpo-03549
small_molecule-01707,analyz,hpo-03549
small_molecule-01707,cause,hpo-03528
small_molecule-01707,cause,hpo-03549
small_molecule-01707,produce,hpo-03634
small_molecule-01707,regulate,hpo-03634
small_molecule-01707,show,hpo-03634
small_molecule-01707,stimul,hpo-03528
small_molecule-01732,reduce,hpo-12952
small_molecule-01732,treat,hpo-05246
small_molecule-01732,treat,hpo-12952
small_molecule-01748,develop,small_molecule-09026
small_molecule-01839,activate,hpo-13312
small_molecule-01839,confer,hpo-12857
small_molecule-01845,affect,hpo-03925
small_molecule-01845,affect,hpo-12834
small_molecule-01845,reduce,hpo-03528
small_molecule-01845,reduce,hpo-12834
small_molecule-01845,reduce,hpo-12857
small_molecule-01845,regulate,hpo-03925
small_molecule-01845,treat,hpo-03925
small_molecule-01845,treat,hpo-13128
small_molecule-01867,reduce,hpo-03925
small_molecule-01879,feature,hpo-00269
small_molecule-01879,feature,hpo-00350
small_molecule-01879,show,hpo-12335
small_molecule-01916,inhibit,disease-3797
small_molecule-01922,associate,hpo-04112
small_molecule-01922,associate,hpo-12952
small_molecule-01926,affect,hpo-03925
small_molecule-01926,improve,hpo-03634
small_molecule-01926,improve,hpo-03925
small_molecule-01926,improve,small_molecule-11291
small_molecule-01926,inhibit,hpo-03925
small_molecule-01926,protect,hpo-12857
small_molecule-01926,protect,small_molecule-11291
small_molecule-01926,reduce,hpo-03925
small_molecule-01926,reduce,hpo-12407
small_molecule-01926,reduce,small_molecule-11291
small_molecule-01926,treat,small_molecule-11291
small_molecule-01950,inhibit,hpo-03925
small_molecule-01960,cause,hpo-05245
small_molecule-02045,develop,disease-3237
small_molecule-02120,affect,hpo-12986
small_molecule-02120,reduce,hpo-12952
small_molecule-02120,reduce,hpo-13073
small_molecule-02135,affect,hpo-03549
small_molecule-02135,prevent,hpo-03549
small_molecule-02135,reduce,hpo-03549
small_molecule-02136,inhibit,hpo-03528
small_molecule-02136,treat,hpo-03925
small_molecule-02137,activate,hpo-03925
small_molecule-02137,activate,hpo-08911
small_molecule-02137,analyz,hpo-08911
small_molecule-02137,cause,gene-00698
small_molecule-02137,demonstr,hpo-03925
small_molecule-02137,demonstr,hpo-13003
small_molecule-02137,demonstr,hpo-13281
small_molecule-02137,expression,hpo-03925
small_molecule-02137,expression,hpo-08911
small_molecule-02137,feature,gene-18148
small_molecule-02137,feature,hpo-13277
small_molecule-02137,found,hpo-08911
small_molecule-02159,focus,gene-09014
small_molecule-02159,focus,hpo-13631
small_molecule-02249,show,hpo-03878
small_molecule-02402,confer,gene-03229
small_molecule-02452,inhibit,hpo-12407
small_molecule-02452,protect,gene-00482
small_molecule-02453,regulate,hpo-13474
small_molecule-02455,associate,gene-03467
small_molecule-02455,associate,gene-03468
small_molecule-02455,associate,small_molecule-09290
small_molecule-02455,change,gene-04564
small_molecule-02455,change,hpo-06645
small_molecule-02455,change,hpo-10098
small_molecule-02455,change,small_molecule-53521
small_molecule-02455,expression,hpo-03925
small_molecule-02455,phosphorylation,hpo-03528
small_molecule-02455,prevent,hpo-03634
small_molecule-02455,regulate,gene-07573
small_molecule-02455,show,hpo-13528
small_molecule-02455,treat,hpo-03925
small_molecule-02463,affect,hpo-12857
small_molecule-02463,cause,hpo-03631
small_molecule-02463,increase,gene-27622
small_molecule-02463,produce,hpo-03925
small_molecule-02464,cause,hpo-03632
small_molecule-02464,conside,hpo-03925
small_molecule-02467,inhibit,protein-02986
small_molecule-02474,affect,hpo-06802
small_molecule-02474,patholog,hpo-03925
small_molecule-02474,patholog,hpo-13303
small_molecule-02474,regulate,hpo-03925
small_molecule-02474,regulate,hpo-08236
small_molecule-02516,reduce,gene-05543
small_molecule-02516,reduce,hpo-12857
small_molecule-02516,reduce,small_molecule-02847
small_molecule-02524,protect,hpo-06796
small_molecule-02622,production,gene-00026
small_molecule-02637,associate,gene-02901
small_molecule-02637,associate,gene-05683
small_molecule-02637,associate,hpo-13354
small_molecule-02637,reduce,hpo-13354
small_molecule-02641,risk,hpo-13528
small_molecule-02642,protect,hpo-13006
small_molecule-02693,inhibit,hpo-03528
small_molecule-02716,prevent,gene-08074
small_molecule-02808,associate,hpo-13003
small_molecule-02808,observe,hpo-04112
small_molecule-02837,cause,hpo-03925
small_molecule-02847,activate,gene-06802
small_molecule-02847,activate,protein-04112
small_molecule-02847,affect,drug-01329
small_molecule-02847,affect,gene-01531
small_molecule-02847,affect,gene-20527
small_molecule-02847,affect,protein-14286
small_molecule-02847,analyz,gene-16607
small_molecule-02847,associate,disease-4560
small_molecule-02847,associate,gene-01413
small_molecule-02847,associate,gene-01660
small_molecule-02847,associate,gene-02713
small_molecule-02847,associate,gene-07403
small_molecule-02847,associate,gene-08220
small_molecule-02847,associate,hpo-03858
small_molecule-02847,associate,hpo-03925
small_molecule-02847,associate,hpo-08247
small_molecule-02847,associate,hpo-12817
small_molecule-02847,associate,hpo-12942
small_molecule-02847,associate,hpo-13302
small_molecule-02847,associate,small_molecule-02516
small_molecule-02847,associate,small_molecule-14207
small_molecule-02847,cause,disease-0159
small_molecule-02847,cause,gene-00059
small_molecule-02847,cause,gene-01365
small_molecule-02847,cause,gene-01645
small_molecule-02847,cause,gene-03229
small_molecule-02847,cause,gene-03625
small_molecule-02847,cause,gene-03639
small_molecule-02847,cause,gene-03640
small_molecule-02847,cause,gene-03647
small_molecule-02847,cause,gene-04408
small_molecule-02847,cause,gene-05719
small_molecule-02847,cause,gene-05721
small_molecule-02847,cause,gene-05836
small_molecule-02847,cause,gene-05950
small_molecule-02847,cause,gene-07403
small_molecule-02847,cause,gene-16091
small_molecule-02847,cause,gene-20527
small_molecule-02847,cause,hpo-03528
small_molecule-02847,cause,hpo-03858
small_molecule-02847,cause,hpo-03925
small_molecule-02847,cause,hpo-03930
small_molecule-02847,cause,hpo-03933
small_molecule-02847,cause,hpo-04112
small_molecule-02847,cause,hpo-04198
small_molecule-02847,cause,hpo-05245
small_molecule-02847,cause,hpo-12857
small_molecule-02847,cause,hpo-13301
small_molecule-02847,cause,hpo-13303
small_molecule-02847,cause,hpo-13310
small_molecule-02847,cause,protein-14286
small_molecule-02847,cause,small_molecule-03251
small_molecule-02847,cause,small_molecule-08566
small_molecule-02847,cause,small_molecule-09290
small_molecule-02847,cause,small_molecule-11291
small_molecule-02847,cause,small_molecule-15375
small_molecule-02847,cause,small_molecule-36401
small_molecule-02847,change,gene-09014
small_molecule-02847,change,hpo-00016
small_molecule-02847,change,hpo-03646
small_molecule-02847,change,hpo-03925
small_molecule-02847,change,small_molecule-11291
small_molecule-02847,consist,gene-16694
small_molecule-02847,contain,hpo-03002
small_molecule-02847,contain,hpo-08247
small_molecule-02847,control,small_molecule-02452
small_molecule-02847,demonstr,hpo-02556
small_molecule-02847,demonstr,hpo-03891
small_molecule-02847,demonstr,small_molecule-14207
small_molecule-02847,detect,gene-08371
small_molecule-02847,detect,hpo-03925
small_molecule-02847,develop,hpo-03925
small_molecule-02847,encode,gene-03229
small_molecule-02847,encode,gene-13341
small_molecule-02847,evalu,gene-04480
small_molecule-02847,evalu,gene-04481
small_molecule-02847,expression,gene-01484
small_molecule-02847,expression,gene-05413
small_molecule-02847,expression,gene-26470
small_molecule-02847,expression,hpo-03925
small_molecule-02847,expression,protein-06104
small_molecule-02847,feature,hpo-03528
small_molecule-02847,feature,hpo-03925
small_molecule-02847,feature,hpo-04198
small_molecule-02847,feature,hpo-08875
small_molecule-02847,feature,hpo-12952
small_molecule-02847,found,drug-00418
small_molecule-02847,function,gene-05721
small_molecule-02847,generate,hpo-03528
small_molecule-02847,generate,small_molecule-35204
small_molecule-02847,have,drug-03146
small_molecule-02847,identifi,gene-00073
small_molecule-02847,identifi,gene-00161
small_molecule-02847,identifi,gene-00824
small_molecule-02847,identifi,gene-01047
small_molecule-02847,identifi,gene-01049
small_molecule-02847,identifi,gene-01479
small_molecule-02847,identifi,gene-01870
small_molecule-02847,identifi,gene-03172
small_molecule-02847,identifi,gene-03229
small_molecule-02847,identifi,gene-03468
small_molecule-02847,identifi,gene-03640
small_molecule-02847,identifi,gene-04084
small_molecule-02847,identifi,gene-05721
small_molecule-02847,identifi,gene-07403
small_molecule-02847,identifi,gene-16091
small_molecule-02847,identifi,gene-20527
small_molecule-02847,identifi,hpo-03891
small_molecule-02847,identifi,hpo-12952
small_molecule-02847,increase,gene-02889
small_molecule-02847,increase,hpo-03897
small_molecule-02847,increase,hpo-03925
small_molecule-02847,increase,small_molecule-04376
small_molecule-02847,increase,small_molecule-13637
small_molecule-02847,inhibit,gene-03229
small_molecule-02847,interact,gene-06310
small_molecule-02847,interact,protein-14286
small_molecule-02847,marker,hpo-03925
small_molecule-02847,mutate,disease-4708
small_molecule-02847,mutate,gene-03625
small_molecule-02847,mutate,gene-06310
small_molecule-02847,mutate,gene-20527
small_molecule-02847,mutate,small_molecule-11587
small_molecule-02847,patholog,hpo-03925
small_molecule-02847,patholog,protein-05810
small_molecule-02847,prevent,gene-00175
small_molecule-02847,prevent,gene-04551
small_molecule-02847,production,small_molecule-08480
small_molecule-02847,protect,gene-05168
small_molecule-02847,reduce,gene-17059
small_molecule-02847,regulate,gene-02000
small_molecule-02847,regulate,gene-03026
small_molecule-02847,regulate,gene-03036
small_molecule-02847,regulate,gene-03201
small_molecule-02847,regulate,gene-04393
small_molecule-02847,regulate,gene-04555
small_molecule-02847,regulate,gene-11314
small_molecule-02847,regulate,hpo-03549
small_molecule-02847,regulate,hpo-04650
small_molecule-02847,regulate,hpo-13631
small_molecule-02847,regulate,small_molecule-06845
small_molecule-02847,regulate,small_molecule-08470
small_molecule-02847,reverse,small_molecule-55907
small_molecule-02847,risk,gene-05285
small_molecule-02847,risk,gene-20527
small_molecule-02847,risk,hpo-03858
small_molecule-02847,risk,hpo-03897
small_molecule-02847,risk,hpo-03925
small_molecule-02847,risk,hpo-05245
small_molecule-02847,risk,hpo-12942
small_molecule-02847,show,gene-05836
small_molecule-02847,show,gene-06310
small_molecule-02847,show,hpo-00016
small_molecule-02847,show,hpo-03461
small_molecule-02847,show,hpo-03646
small_molecule-02847,show,hpo-03858
small_molecule-02847,show,hpo-03925
small_molecule-02847,show,hpo-06573
small_molecule-02847,show,hpo-07292
small_molecule-02847,show,small_molecule-08566
small_molecule-02847,show,small_molecule-11220
small_molecule-02847,treat,small_molecule-55907
small_molecule-02847,use,hpo-03925
small_molecule-02910,affect,hpo-03925
small_molecule-02913,associate,gene-00165
small_molecule-02913,associate,hpo-03925
small_molecule-02913,increase,hpo-03634
small_molecule-02913,prevent,gene-00165
small_molecule-02913,prevent,hpo-03925
small_molecule-02913,protect,hpo-03630
small_molecule-03020,inhibit,hpo-03528
small_molecule-03050,expression,hpo-12857
small_molecule-03050,reduce,hpo-12857
small_molecule-03050,regulate,hpo-12857
small_molecule-03081,found,disease-1396
small_molecule-03106,reduce,hpo-03897
small_molecule-03163,activate,hpo-03925
small_molecule-03163,affect,hpo-03925
small_molecule-03163,affect,small_molecule-09290
small_molecule-03163,detect,hpo-13528
small_molecule-03163,increase,hpo-03925
small_molecule-03163,increase,hpo-04141
small_molecule-03163,increase,small_molecule-09290
small_molecule-03163,regulate,hpo-03528
small_molecule-03163,stimul,hpo-10098
small_molecule-03164,cause,hpo-03514
small_molecule-03166,associate,hpo-03632
small_molecule-03249,change,gene-02579
small_molecule-03251,affect,hpo-03632
small_molecule-03251,associate,hpo-03549
small_molecule-03251,associate,hpo-03925
small_molecule-03251,associate,hpo-13303
small_molecule-03251,associate,hpo-13528
small_molecule-03251,cause,hpo-13631
small_molecule-03251,demonstr,hpo-03925
small_molecule-03251,increase,hpo-03461
small_molecule-03251,increase,hpo-13581
small_molecule-03255,cause,hpo-13309
small_molecule-03255,generate,hpo-00016
small_molecule-03255,increase,hpo-10098
small_molecule-03255,prevent,hpo-03925
small_molecule-03255,stimul,hpo-12857
small_molecule-03255,treat,hpo-09128
small_molecule-03260,regulate,gene-00175
small_molecule-03354,act,hpo-03528
small_molecule-03354,cause,hpo-03634
small_molecule-03354,cause,hpo-03646
small_molecule-03354,cause,hpo-03925
small_molecule-03354,cause,hpo-12855
small_molecule-03354,increase,gene-03229
small_molecule-03354,increase,gene-03842
small_molecule-03354,increase,hpo-12403
small_molecule-03354,inhibit,hpo-03528
small_molecule-03354,observe,hpo-03925
small_molecule-03400,focus,hpo-13006
small_molecule-03401,cause,hpo-13631
small_molecule-03401,detect,hpo-03646
small_molecule-03401,treat,hpo-13474
small_molecule-03403,increase,hpo-13528
small_molecule-03447,cause,hpo-03925
small_molecule-03454,maintain,gene-05854
small_molecule-03459,affect,hpo-03925
small_molecule-03459,affect,hpo-06797
small_molecule-03459,cause,hpo-03925
small_molecule-03459,cause,hpo-12857
small_molecule-03459,depend,hpo-12641
small_molecule-03459,expression,hpo-12857
small_molecule-03459,patholog,small_molecule-10507
small_molecule-03459,protect,hpo-08279
small_molecule-03459,protect,hpo-12641
small_molecule-03459,regulate,hpo-03528
small_molecule-03596,associate,hpo-12857
small_molecule-03596,change,gene-03472
small_molecule-03598,affect,hpo-13303
small_molecule-03598,develop,hpo-03528
small_molecule-03598,prevent,hpo-03726
small_molecule-03598,regulate,hpo-04141
small_molecule-03617,affect,hpo-03642
small_molecule-03617,affect,hpo-04141
small_molecule-03617,affect,hpo-12857
small_molecule-03617,associate,hpo-03528
small_molecule-03617,associate,hpo-03925
small_molecule-03617,associate,hpo-12857
small_molecule-03617,cause,hpo-12857
small_molecule-03617,increase,hpo-03925
small_molecule-03617,treat,hpo-03925
small_molecule-03617,treat,hpo-12855
small_molecule-03621,conside,gene-08354
small_molecule-03628,reduce,hpo-03528
small_molecule-03647,cause,hpo-13006
small_molecule-03647,show,hpo-13074
small_molecule-03673,reduce,small_molecule-02847
small_molecule-03753,affect,hpo-03528
small_molecule-03753,provid,hpo-03634
small_molecule-03781,associate,hpo-12857
small_molecule-03781,associate,hpo-13303
small_molecule-03802,cause,hpo-03925
small_molecule-03863,prevent,hpo-03634
small_molecule-03875,act,hpo-13303
small_molecule-03890,regulate,hpo-13631
small_molecule-03968,feature,hpo-03925
small_molecule-03968,protect,hpo-03925
small_molecule-03968,signal,small_molecule-02847
small_molecule-03970,regulate,hpo-05246
small_molecule-03991,increase,hpo-13319
small_molecule-03993,phosphorylation,hpo-03528
small_molecule-04062,prevent,hpo-03925
small_molecule-04093,cause,hpo-13514
small_molecule-04103,affect,hpo-12942
small_molecule-04103,cause,hpo-03634
small_molecule-04103,reduce,disease-4258
small_molecule-04103,stimul,hpo-09128
small_molecule-04112,potenti,hpo-13474
small_molecule-04112,regulate,hpo-13631
small_molecule-04157,cause,hpo-13319
small_molecule-04162,activate,gene-01573
small_molecule-04209,associate,hpo-03634
small_molecule-04321,cause,hpo-03632
small_molecule-04321,reduce,hpo-12857
small_molecule-04330,increase,hpo-08102
small_molecule-04376,develop,hpo-00016
small_molecule-04395,regulate,small_molecule-53521
small_molecule-04447,cause,hpo-03925
small_molecule-04447,cause,hpo-04345
small_molecule-04447,cause,hpo-13632
small_molecule-04447,increase,hpo-03925
small_molecule-04447,increase,hpo-04345
small_molecule-04447,increase,hpo-04723
small_molecule-04447,increase,hpo-11902
small_molecule-04447,increase,small_molecule-06725
small_molecule-04451,affect,hpo-12857
small_molecule-04451,use,hpo-12856
small_molecule-04466,associate,hpo-13074
small_molecule-04497,show,gene-12194
small_molecule-04497,show,hpo-03764
small_molecule-04523,cause,hpo-09089
small_molecule-04612,found,disease-1396
small_molecule-04678,cause,hpo-00016
small_molecule-04685,cause,hpo-08360
small_molecule-04748,treat,hpo-12952
small_molecule-04766,inhibit,hpo-13474
small_molecule-04776,regulate,hpo-08335
small_molecule-04812,associate,hpo-03925
small_molecule-04812,cause,hpo-13474
small_molecule-04812,cause,small_molecule-11291
small_molecule-04812,found,hpo-03925
small_molecule-04812,increase,hpo-13647
small_molecule-04812,observe,disease-4258
small_molecule-04812,observe,hpo-12942
small_molecule-04812,patholog,small_molecule-21847
small_molecule-04812,treat,hpo-03634
small_molecule-04822,cause,hpo-03528
small_molecule-04822,reduce,gene-07270
small_molecule-04973,affect,small_molecule-11291
small_molecule-04973,affect,small_molecule-53522
small_molecule-04973,cause,hpo-00134
small_molecule-04973,cause,hpo-03925
small_molecule-04973,cause,hpo-04198
small_molecule-04973,cause,hpo-12834
small_molecule-04973,differenti,disease-4801
small_molecule-04973,encode,disease-2432
small_molecule-04973,increase,hpo-12834
small_molecule-04983,expression,hpo-03925
small_molecule-04997,affect,hpo-03925
small_molecule-05046,show,gene-04960
small_molecule-05067,activate,hpo-09693
small_molecule-05067,associate,hpo-03528
small_molecule-05067,bind,small_molecule-02847
small_molecule-05067,expression,gene-05247
small_molecule-05067,expression,hpo-03632
small_molecule-05067,increase,hpo-10127
small_molecule-05067,reduce,hpo-12857
small_molecule-05077,signal,hpo-13066
small_molecule-05128,activate,hpo-03925
small_molecule-05128,affect,hpo-06802
small_molecule-05128,associate,hpo-12857
small_molecule-05128,associate,hpo-13303
small_molecule-05128,cause,hpo-03925
small_molecule-05128,focus,small_molecule-21261
small_molecule-05128,increase,hpo-03925
small_molecule-05128,increase,hpo-12857
small_molecule-05215,cause,hpo-12857
small_molecule-05622,regulate,hpo-12857
small_molecule-05622,regulate,small_molecule-53521
small_molecule-05680,treat,hpo-04112
small_molecule-05736,act,hpo-13631
small_molecule-05736,affect,hpo-02571
small_molecule-05736,affect,hpo-03925
small_molecule-05736,affect,hpo-12834
small_molecule-05736,affect,hpo-13303
small_molecule-05736,affect,hpo-13474
small_molecule-05736,associate,hpo-03528
small_molecule-05736,associate,hpo-03925
small_molecule-05736,associate,hpo-04141
small_molecule-05736,associate,hpo-12945
small_molecule-05736,associate,hpo-13303
small_molecule-05736,associate,hpo-13631
small_molecule-05736,cause,hpo-03925
small_molecule-05736,control,hpo-13303
small_molecule-05736,enhance,hpo-08279
small_molecule-05736,improve,hpo-03925
small_molecule-05736,patholog,hpo-03925
small_molecule-05736,patholog,hpo-12945
small_molecule-05736,patholog,hpo-13303
small_molecule-05736,prevent,hpo-03925
small_molecule-05736,production,hpo-05246
small_molecule-05736,production,hpo-13303
small_molecule-05736,production,hpo-13647
small_molecule-05736,protect,hpo-03925
small_molecule-05736,protect,hpo-05246
small_molecule-05736,reduce,hpo-12824
small_molecule-05736,reduce,hpo-12949
small_molecule-05736,regulate,hpo-13354
small_molecule-05736,treat,hpo-03420
small_molecule-05736,treat,hpo-12824
small_molecule-05736,use,hpo-13352
small_molecule-05839,cause,hpo-12470
small_molecule-05839,detect,hpo-13071
small_molecule-05839,identifi,hpo-03925
small_molecule-05839,marker,hpo-03925
small_molecule-05839,regulate,small_molecule-02847
small_molecule-05839,treat,hpo-03925
small_molecule-05848,prevent,hpo-00016
small_molecule-05848,prevent,hpo-03528
small_molecule-05848,prevent,small_molecule-08747
small_molecule-05863,associate,gene-01489
small_molecule-05863,associate,gene-01567
small_molecule-05863,associate,gene-01890
small_molecule-05863,associate,gene-02875
small_molecule-05863,associate,hpo-03925
small_molecule-05863,associate,small_molecule-53521
small_molecule-05863,expression,gene-01489
small_molecule-05863,expression,gene-01567
small_molecule-05863,expression,gene-01890
